date,total_sales,total_orders,total_items,average_order_value,data_missing
2015-01-01,2713.85,69,162,16.856211180124223,False
2015-01-02,2731.9,67,165,17.074375,False
2015-01-03,2662.4,66,158,17.28831168831169,False
2015-01-04,1755.45,52,106,16.560849056603775,False
2015-01-05,2065.95,54,125,17.073966942148758,False
2015-01-06,2428.95,64,147,16.867708333333333,False
2015-01-07,2202.2,58,138,16.557894736842105,False
2015-01-08,2838.35,72,173,16.598538011695904,False
2015-01-09,2127.35,62,127,17.29552845528455,False
2015-01-10,2463.95,65,146,16.992758620689653,False
2015-01-11,1872.3,52,116,16.423684210526314,False
2015-01-12,1919.05,55,119,16.263135593220337,False
2015-01-13,2049.6,48,120,17.517948717948716,False
2015-01-14,2527.4,62,150,17.55138888888889,False
2015-01-15,1984.8,62,123,16.13658536585366,False
2015-01-16,2594.15,67,158,16.736451612903227,False
2015-01-17,2064.1,55,125,16.918852459016392,False
2015-01-18,1976.85,51,122,16.61218487394958,False
2015-01-19,2387.15,56,142,17.173741007194245,False
2015-01-20,2397.9,64,143,17.25107913669065,False
2015-01-21,2040.55,51,129,16.06732283464567,False
2015-01-22,2496.7,68,158,16.10774193548387,False
2015-01-23,2423.7,69,152,16.26644295302013,False
2015-01-24,2289.25,63,142,16.121478873239436,False
2015-01-25,1617.55,44,102,16.015346534653464,False
2015-01-26,1884.4,55,113,16.676106194690266,False
2015-01-27,2528.05,66,151,16.966778523489936,False
2015-01-28,2016.0,51,118,17.379310344827587,False
2015-01-29,2045.3,58,119,17.785217391304347,False
2015-01-30,2270.3,65,138,16.45144927536232,False
2015-01-31,2417.85,54,145,16.908041958041956,False
2015-02-01,3189.2,87,191,16.96382978723404,False
2015-02-02,2328.6,63,145,16.283916083916083,False
2015-02-03,2614.8,62,159,17.090196078431372,False
2015-02-04,2233.9,57,138,16.54740740740741,False
2015-02-05,2215.8,60,133,16.78636363636364,False
2015-02-06,2509.95,66,153,16.51282894736842,False
2015-02-07,2237.65,61,136,16.575185185185187,False
2015-02-08,2035.0,53,124,16.68032786885246,False
2015-02-09,2195.35,54,136,16.38320895522388,False
2015-02-10,2056.5,59,124,16.85655737704918,False
2015-02-11,2460.0,69,155,16.18421052631579,False
2015-02-12,2158.8,58,130,16.998425196850395,False
2015-02-13,2754.5,71,163,17.215625,False
2015-02-14,2319.15,57,140,16.928102189781022,False
2015-02-15,2141.25,55,128,16.728515625,False
2015-02-16,1968.8,49,119,16.684745762711863,False
2015-02-17,2121.9,61,129,16.57734375,False
2015-02-18,2642.85,61,163,16.517812499999998,False
2015-02-19,2030.25,56,123,16.641393442622952,False
2015-02-20,2891.15,73,175,17.107396449704144,False
2015-02-21,2111.0,56,127,17.024193548387096,False
2015-02-22,1579.95,37,97,16.988709677419354,False
2015-02-23,2168.55,54,128,17.3484,False
2015-02-24,2194.55,58,134,16.625378787878788,False
2015-02-25,2341.3,63,144,16.604964539007092,False
2015-02-26,2261.3,55,140,16.627205882352943,False
2015-02-27,2857.95,71,173,16.71315789473684,False
2015-02-28,2539.6,59,154,16.598692810457514,False
2015-03-01,1598.55,49,99,16.146969696969695,False
2015-03-02,2379.05,58,139,17.23949275362319,False
2015-03-03,2287.9,53,137,17.202255639097746,False
2015-03-04,2444.3,59,147,16.974305555555556,False
2015-03-05,2350.65,64,142,16.790357142857143,False
2015-03-06,2513.95,66,152,17.33758620689655,False
2015-03-07,2400.45,58,144,17.269424460431654,False
2015-03-08,2188.15,62,135,16.57689393939394,False
2015-03-09,2334.55,56,138,17.165808823529414,False
2015-03-10,2388.7,59,144,16.82183098591549,False
2015-03-11,2207.7,62,134,16.724999999999998,False
2015-03-12,1994.9,51,119,17.34695652173913,False
2015-03-13,2786.65,71,176,16.107803468208093,False
2015-03-14,2039.45,56,123,16.716803278688523,False
2015-03-15,2068.6,49,131,16.682258064516127,False
2015-03-16,2295.05,66,141,16.393214285714286,False
2015-03-17,2965.3,71,179,16.848295454545454,False
2015-03-18,2075.4,62,123,17.440336134453784,False
2015-03-19,2388.6,58,144,16.703496503496503,False
2015-03-20,2461.25,66,149,16.63006756756757,False
2015-03-21,2267.4,56,136,16.92089552238806,False
2015-03-22,1259.25,37,77,16.56907894736842,False
2015-03-23,2232.55,61,135,17.04236641221374,False
2015-03-24,2162.3,60,130,16.89296875,False
2015-03-25,1927.75,56,115,16.76304347826087,False
2015-03-26,2215.5,65,136,16.290441176470587,False
2015-03-27,2744.8,71,167,16.435928143712577,False
2015-03-28,2252.1,60,139,16.319565217391304,False
2015-03-29,2154.25,54,132,16.699612403100776,False
2015-03-30,2255.45,62,137,16.95827067669173,False
2015-03-31,2756.6,62,161,17.337106918238995,False
2015-04-01,2176.85,67,135,16.367293233082705,False
2015-04-02,2547.15,62,150,17.688541666666666,False
2015-04-03,2538.2,64,155,16.48181818181818,False
2015-04-04,2767.55,66,170,17.083641975308645,False
2015-04-05,1909.85,50,117,16.464224137931033,False
2015-04-06,2622.35,60,157,17.13954248366013,False
2015-04-07,2234.25,61,138,16.428308823529413,False
2015-04-08,2293.95,60,136,17.511068702290075,False
2015-04-09,2047.3,52,122,16.9198347107438,False
2015-04-10,2424.95,59,142,17.077112676056338,False
2015-04-11,2543.75,63,153,16.958333333333332,False
2015-04-12,1994.3,53,120,17.192241379310346,False
2015-04-13,2496.2,66,144,17.455944055944055,False
2015-04-14,2505.7,50,146,17.7709219858156,False
2015-04-15,2578.85,67,158,16.63774193548387,False
2015-04-16,2017.95,55,126,16.1436,False
2015-04-17,2675.65,64,161,16.618944099378883,False
2015-04-18,2286.2,62,137,16.934814814814814,False
2015-04-19,1527.95,50,95,16.608152173913044,False
2015-04-20,2459.45,70,151,16.617905405405406,False
2015-04-21,2213.15,62,134,17.02423076923077,False
2015-04-22,2193.45,59,134,16.617045454545455,False
2015-04-23,2426.15,57,144,17.709124087591242,False
2015-04-24,2979.2,71,175,17.42222222222222,False
2015-04-25,2089.2,62,126,16.7136,False
